Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TokenizedLogin-1653946501033,1,743,743,743,743,743,743,743,0.000%,1.34590,24.63,4.81
LoginUser-1653946501432,1,389,389,389,389,389,389,389,0.000%,2.57069,4.03,4.00
CheckBookingsDateType-1653946501719,1,152,152,152,152,152,152,152,0.000%,6.57895,8.22,11.15
CheckBookingsDateType-1653946501718,1,155,155,155,155,155,155,155,0.000%,6.45161,8.06,10.93
TokenizedLogin-1653946501022,1,864,864,864,864,864,864,864,0.000%,1.15741,21.18,4.14
CheckBookingsDateType-1653946501704,1,254,254,254,254,254,254,254,0.000%,3.93701,4.92,6.67
TokenizedLogin-1653946499950,2,4137,2073,6202,6202,6202,2073,6202,0.000%,.32248,5.90,1.15
TokenizedLogin-1653946501138,1,888,888,888,888,888,888,888,0.000%,1.12613,20.61,4.03
CheckBookingConflicts-1653946501898,1,135,135,135,135,135,135,135,0.000%,7.40741,12.83,12.49
TokenizedLogin-1653946501134,1,909,909,909,909,909,909,909,0.000%,1.10011,20.14,3.94
CheckBookingsDateType-1653946501918,1,139,139,139,139,139,139,139,0.000%,7.19424,8.99,12.19
TokenizedLogin-1653946501077,1,1009,1009,1009,1009,1009,1009,1009,0.000%,.99108,18.14,3.55
CheckBookingConflicts-1653946501966,1,124,124,124,124,124,124,124,0.000%,8.06452,13.96,13.59
TokenizedLogin-1653946501123,1,1006,1006,1006,1006,1006,1006,1006,0.000%,.99404,18.20,3.56
DashboardRoute-1653946501426,1,730,730,730,730,730,730,730,0.000%,1.36986,112.15,1.69
CheckBookingConflicts-1653946502047,1,146,146,146,146,146,146,146,0.000%,6.84932,11.86,11.54
TokenizedLogin-1653946501130,1,1071,1071,1071,1071,1071,1071,1071,0.000%,.93371,17.09,3.34
CheckBookingConflicts-1653946502057,1,154,154,154,154,154,154,154,0.000%,6.49351,11.24,10.95
GetLocations-1653946502042,1,171,171,171,171,171,171,171,0.000%,5.84795,11.81,9.62
GetLocations-1653946502119,1,177,177,177,177,177,177,177,0.000%,5.64972,11.41,9.29
LoginCSRF-1653946499494,1,2824,2824,2824,2824,2824,2824,2824,0.000%,.35411,0.38,0.10
LoginCheck-1653946502198,1,122,122,122,122,122,122,122,0.000%,8.19672,9.60,16.50
